drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.65,2.25,10.0,concave,56.250
0.65,2.375,10.0,concave,53.400
0.65,2.5,10.0,concave,51.650
0.7,0.0,10.0,concave,NAN
0.7,0.125,10.0,concave,NAN
0.7,0.25,10.0,concave,NAN
0.7,0.375,10.0,concave,NAN
0.7,0.5,10.0,concave,NAN
0.7,0.625,10.0,concave,NAN
0.7,0.75,10.0,concave,NAN
0.7,0.875,10.0,concave,163.350
0.7,1.0,10.0,concave,117.250
0.7,1.125,10.0,concave,95.300
0.7,1.25,10.0,concave,85.150
0.7,1.375,10.0,concave,75.350
0.7,1.5,10.0,concave,69.550
0.7,1.625,10.0,concave,65.000
0.7,1.75,10.0,concave,62.300
0.7,1.875,10.0,concave,59.300
0.7,2.0,10.0,concave,56.150
0.7,2.125,10.0,concave,53.950
0.7,2.25,10.0,concave,52.900
0.7,2.375,10.0,concave,50.500
0.7,2.5,10.0,concave,48.650
0.75,0.0,10.0,concave,NAN
0.75,0.125,10.0,concave,NAN
0.75,0.25,10.0,concave,NAN
0.75,0.375,10.0,concave,NAN
0.75,0.5,10.0,concave,NAN
0.75,0.625,10.0,concave,NAN
0.75,0.75,10.0,concave,160.350
0.75,0.875,10.0,concave,114.200
0.75,1.0,10.0,concave,94.850
0.75,1.125,10.0,concave,82.650
0.75,1.25,10.0,concave,73.850
0.75,1.375,10.0,concave,68.450
0.75,1.5,10.0,concave,63.650
0.75,1.625,10.0,concave,60.950
0.75,1.75,10.0,concave,57.550
0.75,1.875,10.0,concave,54.650
0.75,2.0,10.0,concave,53.300
0.75,2.125,10.0,concave,50.500
0.75,2.25,10.0,concave,49.400
0.75,2.375,10.0,concave,48.900
0.75,2.5,10.0,concave,48.100
0.8,0.0,10.0,concave,NAN
0.8,0.125,10.0,concave,NAN
0.8,0.25,10.0,concave,NAN
0.8,0.375,10.0,concave,NAN
0.8,0.5,10.0,concave,NAN
0.8,0.625,10.0,concave,156.650
0.8,0.75,10.0,concave,111.450
0.8,0.875,10.0,concave,91.450
0.8,1.0,10.0,concave,80.050
0.8,1.125,10.0,concave,73.450
0.8,1.25,10.0,concave,66.650
0.8,1.375,10.0,concave,62.550
0.8,1.5,10.0,concave,58.650
0.8,1.625,10.0,concave,56.400
0.8,1.75,10.0,concave,53.850
0.8,1.875,10.0,concave,50.950
0.8,2.0,10.0,concave,49.750
0.8,2.125,10.0,concave,48.650
0.8,2.25,10.0,concave,46.950
0.8,2.375,10.0,concave,46.150
0.8,2.5,10.0,concave,45.850
0.85,0.0,10.0,concave,NAN
0.85,0.125,10.0,concave,NAN
0.85,0.25,10.0,concave,NAN
0.85,0.375,10.0,concave,NAN
0.85,0.5,10.0,concave,156.900
0.85,0.625,10.0,concave,110.100
0.85,0.75,10.0,concave,90.350
0.85,0.875,10.0,concave,78.500
0.85,1.0,10.0,concave,71.000
0.85,1.125,10.0,concave,64.650
0.85,1.25,10.0,concave,60.600
0.85,1.375,10.0,concave,57.900
0.85,1.5,10.0,concave,55.150
0.85,1.625,10.0,concave,51.950
0.85,1.75,10.0,concave,50.050
0.85,1.875,10.0,concave,49.550
0.85,2.0,10.0,concave,47.550
0.85,2.125,10.0,concave,45.900
0.85,2.25,10.0,concave,44.150
0.85,2.375,10.0,concave,44.450
0.85,2.5,10.0,concave,42.850
0.9,0.0,10.0,concave,NAN
0.9,0.125,10.0,concave,NAN
0.9,0.25,10.0,concave,NAN
0.9,0.375,10.0,concave,157.800
0.9,0.5,10.0,concave,109.050
0.9,0.625,10.0,concave,88.650
0.9,0.75,10.0,concave,76.250
0.9,0.875,10.0,concave,69.350
0.9,1.0,10.0,concave,63.700
0.9,1.125,10.0,concave,59.250
0.9,1.25,10.0,concave,55.700
0.9,1.375,10.0,concave,53.500
0.9,1.5,10.0,concave,50.200
0.9,1.625,10.0,concave,48.750
0.9,1.75,10.0,concave,47.150
0.9,1.875,10.0,concave,46.000
0.9,2.0,10.0,concave,44.350
0.9,2.125,10.0,concave,43.950
0.9,2.25,10.0,concave,42.600
0.9,2.375,10.0,concave,41.250
0.9,2.5,10.0,concave,40.500
0.95,0.0,10.0,concave,NAN
0.95,0.125,10.0,concave,NAN
0.95,0.25,10.0,concave,165.900
0.95,0.375,10.0,concave,110.900
0.95,0.5,10.0,concave,87.200
0.95,0.625,10.0,concave,76.100
0.95,0.75,10.0,concave,67.800
0.95,0.875,10.0,concave,61.000
0.95,1.0,10.0,concave,57.250
0.95,1.125,10.0,concave,53.800
0.95,1.25,10.0,concave,51.650
0.95,1.375,10.0,concave,49.050
0.95,1.5,10.0,concave,46.800
0.95,1.625,10.0,concave,45.800
0.95,1.75,10.0,concave,44.200
0.95,1.875,10.0,concave,42.250
0.95,2.0,10.0,concave,41.250
0.95,2.125,10.0,concave,40.050
