method,drive_efficiency,drop_ratio,suppression_rate,low_density_growth_rate
FLAD,0.8,0.18,1.00,6.0
FLAD,0.8,0.195,1.00,6.0
FLAD,0.8,0.21,1.00,6.0
FLAD,0.8,0.225,1.00,6.0
FLAD,0.8,0.24,1.00,6.0
FLAD,0.8,0.255,1.00,6.0
FLAD,0.8,0.27,1.00,6.0
FLAD,0.8,0.285,1.00,6.0
FLAD,0.8,0.3,1.00,6.0
FLAD,0.85,0.0,0,6.0
FLAD,0.85,0.015,0,6.0
FLAD,0.85,0.03,1.00,6.0
FLAD,0.85,0.045,1.00,6.0
FLAD,0.85,0.06,1.00,6.0
FLAD,0.85,0.075,1.00,6.0
FLAD,0.85,0.09,1.00,6.0
FLAD,0.85,0.105,1.00,6.0
FLAD,0.85,0.12,1.00,6.0
FLAD,0.85,0.135,1.00,6.0
FLAD,0.85,0.15,1.00,6.0
FLAD,0.85,0.165,1.00,6.0
FLAD,0.85,0.18,1.00,6.0
FLAD,0.85,0.195,1.00,6.0
FLAD,0.85,0.21,1.00,6.0
FLAD,0.85,0.225,1.00,6.0
FLAD,0.85,0.24,1.00,6.0
FLAD,0.85,0.255,1.00,6.0
FLAD,0.85,0.27,1.00,6.0
FLAD,0.85,0.285,1.00,6.0
FLAD,0.85,0.3,1.00,6.0
FLAD,0.9,0.0,0,6.0
FLAD,0.9,0.015,1.00,6.0
FLAD,0.9,0.03,1.00,6.0
FLAD,0.9,0.045,1.00,6.0
FLAD,0.9,0.06,1.00,6.0
FLAD,0.9,0.075,1.00,6.0
FLAD,0.9,0.09,1.00,6.0
FLAD,0.9,0.105,1.00,6.0
FLAD,0.9,0.12,1.00,6.0
FLAD,0.9,0.135,1.00,6.0
FLAD,0.9,0.15,1.00,6.0
FLAD,0.9,0.165,1.00,6.0
FLAD,0.9,0.18,1.00,6.0
FLAD,0.9,0.195,1.00,6.0
FLAD,0.9,0.21,1.00,6.0
FLAD,0.9,0.225,1.00,6.0
FLAD,0.9,0.24,1.00,6.0
FLAD,0.9,0.255,1.00,6.0
FLAD,0.9,0.27,1.00,6.0
FLAD,0.9,0.285,1.00,6.0
FLAD,0.9,0.3,1.00,6.0
FLAD,0.95,0.0,0,6.0
FLAD,0.95,0.015,1.00,6.0
FLAD,0.95,0.03,1.00,6.0
FLAD,0.95,0.045,1.00,6.0
FLAD,0.95,0.06,1.00,6.0
FLAD,0.95,0.075,1.00,6.0
FLAD,0.95,0.09,1.00,6.0
FLAD,0.95,0.105,1.00,6.0
FLAD,0.95,0.12,1.00,6.0
FLAD,0.95,0.135,1.00,6.0
FLAD,0.95,0.15,1.00,6.0
FLAD,0.95,0.165,1.00,6.0
FLAD,0.95,0.18,1.00,6.0
FLAD,0.95,0.195,1.00,6.0
FLAD,0.95,0.21,1.00,6.0
FLAD,0.95,0.225,1.00,6.0
FLAD,0.95,0.24,1.00,6.0
FLAD,0.95,0.255,1.00,6.0
FLAD,0.95,0.27,1.00,6.0
FLAD,0.95,0.285,1.00,6.0
FLAD,0.95,0.3,1.00,6.0
FLAD,1.0,0.0,0,6.0
FLAD,1.0,0.015,1.00,6.0
FLAD,1.0,0.03,1.00,6.0
FLAD,1.0,0.045,1.00,6.0
FLAD,1.0,0.06,1.00,6.0
FLAD,1.0,0.075,1.00,6.0
FLAD,1.0,0.09,1.00,6.0
FLAD,1.0,0.105,1.00,6.0
FLAD,1.0,0.12,1.00,6.0
FLAD,1.0,0.135,1.00,6.0
FLAD,1.0,0.15,1.00,6.0
FLAD,1.0,0.165,1.00,6.0
FLAD,1.0,0.18,1.00,6.0
FLAD,1.0,0.195,1.00,6.0
FLAD,1.0,0.21,1.00,6.0
FLAD,1.0,0.225,1.00,6.0
FLAD,1.0,0.24,1.00,6.0
FLAD,1.0,0.255,1.00,6.0
FLAD,1.0,0.27,1.00,6.0
FLAD,1.0,0.285,1.00,6.0
FLAD,1.0,0.3,1.00,6.0
