method,drive_efficiency,drop_ratio,generation_to_suppression,low_density_growth_rate
FLAD,0.95,0.09,12.650,6.0
FLAD,0.95,0.105,11.800,6.0
FLAD,0.95,0.12,11.050,6.0
FLAD,0.95,0.135,10.350,6.0
FLAD,0.95,0.15,9.950,6.0
FLAD,0.95,0.165,9.350,6.0
FLAD,0.95,0.18,9.150,6.0
FLAD,0.95,0.195,9.000,6.0
FLAD,0.95,0.21,8.650,6.0
FLAD,0.95,0.225,8.350,6.0
FLAD,0.95,0.24,8.050,6.0
FLAD,0.95,0.255,8.100,6.0
FLAD,0.95,0.27,7.950,6.0
FLAD,0.95,0.285,7.750,6.0
FLAD,0.95,0.3,7.700,6.0
FLAD,1.0,0.0,NAN,6.0
FLAD,1.0,0.015,46.900,6.0
FLAD,1.0,0.03,24.250,6.0
FLAD,1.0,0.045,18.300,6.0
FLAD,1.0,0.06,15.100,6.0
FLAD,1.0,0.075,13.250,6.0
FLAD,1.0,0.09,12.200,6.0
FLAD,1.0,0.105,11.050,6.0
FLAD,1.0,0.12,10.650,6.0
FLAD,1.0,0.135,9.950,6.0
FLAD,1.0,0.15,9.500,6.0
FLAD,1.0,0.165,9.150,6.0
FLAD,1.0,0.18,9.000,6.0
FLAD,1.0,0.195,8.450,6.0
FLAD,1.0,0.21,8.200,6.0
FLAD,1.0,0.225,8.000,6.0
FLAD,1.0,0.24,7.900,6.0
FLAD,1.0,0.255,7.900,6.0
FLAD,1.0,0.27,7.600,6.0
FLAD,1.0,0.285,7.200,6.0
FLAD,1.0,0.3,7.400,6.0
