heterozygotes_survival_rate,resistance_rate,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression,type
0.175,0.5,0.3,0.5,6.0,linear,117.850,haplolethal
0.175,0.5,0.35,0.5,6.0,linear,106.700,haplolethal
0.175,0.5,0.4,0.5,6.0,linear,97.450,haplolethal
0.175,0.5,0.45,0.5,6.0,linear,91.150,haplolethal
0.175,0.5,0.5,0.5,6.0,linear,84.950,haplolethal
0.175,0.5,0.55,0.5,6.0,linear,81.300,haplolethal
0.175,0.5,0.6,0.5,6.0,linear,78.150,haplolethal
0.175,0.5,0.65,0.5,6.0,linear,74.150,haplolethal
0.175,0.5,0.7,0.5,6.0,linear,71.650,haplolethal
0.175,0.5,0.75,0.5,6.0,linear,69.050,haplolethal
0.175,0.5,0.8,0.5,6.0,linear,66.450,haplolethal
0.175,0.5,0.85,0.5,6.0,linear,65.100,haplolethal
0.175,0.5,0.9,0.5,6.0,linear,63.250,haplolethal
0.175,0.5,0.95,0.5,6.0,linear,62.050,haplolethal
0.175,0.5,1.0,0.5,6.0,linear,60.800,haplolethal
0.200,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.200,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.200,0.5,0.1,0.5,6.0,linear,256.700,haplolethal
0.200,0.5,0.15,0.5,6.0,linear,170.200,haplolethal
0.200,0.5,0.2,0.5,6.0,linear,136.950,haplolethal
0.200,0.5,0.25,0.5,6.0,linear,118.100,haplolethal
0.200,0.5,0.3,0.5,6.0,linear,106.500,haplolethal
0.200,0.5,0.35,0.5,6.0,linear,97.450,haplolethal
0.200,0.5,0.4,0.5,6.0,linear,90.150,haplolethal
0.200,0.5,0.45,0.5,6.0,linear,84.950,haplolethal
0.200,0.5,0.5,0.5,6.0,linear,80.600,haplolethal
0.200,0.5,0.55,0.5,6.0,linear,76.900,haplolethal
0.200,0.5,0.6,0.5,6.0,linear,74.500,haplolethal
0.200,0.5,0.65,0.5,6.0,linear,70.450,haplolethal
0.200,0.5,0.7,0.5,6.0,linear,69.000,haplolethal
0.200,0.5,0.75,0.5,6.0,linear,66.650,haplolethal
0.200,0.5,0.8,0.5,6.0,linear,64.900,haplolethal
0.200,0.5,0.85,0.5,6.0,linear,63.450,haplolethal
0.200,0.5,0.9,0.5,6.0,linear,61.250,haplolethal
0.200,0.5,0.95,0.5,6.0,linear,60.050,haplolethal
0.200,0.5,1.0,0.5,6.0,linear,59.250,haplolethal
0.225,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.225,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.225,0.5,0.1,0.5,6.0,linear,194.500,haplolethal
0.225,0.5,0.15,0.5,6.0,linear,146.100,haplolethal
0.225,0.5,0.2,0.5,6.0,linear,122.750,haplolethal
0.225,0.5,0.25,0.5,6.0,linear,107.100,haplolethal
0.225,0.5,0.3,0.5,6.0,linear,98.050,haplolethal
0.225,0.5,0.35,0.5,6.0,linear,90.800,haplolethal
0.225,0.5,0.4,0.5,6.0,linear,84.750,haplolethal
0.225,0.5,0.45,0.5,6.0,linear,80.600,haplolethal
0.225,0.5,0.5,0.5,6.0,linear,76.200,haplolethal
0.225,0.5,0.55,0.5,6.0,linear,73.150,haplolethal
0.225,0.5,0.6,0.5,6.0,linear,70.300,haplolethal
0.225,0.5,0.65,0.5,6.0,linear,67.900,haplolethal
0.225,0.5,0.7,0.5,6.0,linear,66.200,haplolethal
0.225,0.5,0.75,0.5,6.0,linear,64.400,haplolethal
0.225,0.5,0.8,0.5,6.0,linear,62.600,haplolethal
0.225,0.5,0.85,0.5,6.0,linear,61.100,haplolethal
0.225,0.5,0.9,0.5,6.0,linear,59.600,haplolethal
0.225,0.5,0.95,0.5,6.0,linear,58.500,haplolethal
0.225,0.5,1.0,0.5,6.0,linear,57.300,haplolethal
0.250,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.250,0.5,0.05,0.5,6.0,linear,267.550,haplolethal
0.250,0.5,0.1,0.5,6.0,linear,164.150,haplolethal
0.250,0.5,0.15,0.5,6.0,linear,129.050,haplolethal
0.250,0.5,0.2,0.5,6.0,linear,111.300,haplolethal
0.250,0.5,0.25,0.5,6.0,linear,100.050,haplolethal
0.250,0.5,0.3,0.5,6.0,linear,91.250,haplolethal
0.250,0.5,0.35,0.5,6.0,linear,84.950,haplolethal
0.250,0.5,0.4,0.5,6.0,linear,80.650,haplolethal
0.250,0.5,0.45,0.5,6.0,linear,76.500,haplolethal
0.250,0.5,0.5,0.5,6.0,linear,72.950,haplolethal
0.250,0.5,0.55,0.5,6.0,linear,70.200,haplolethal
0.250,0.5,0.6,0.5,6.0,linear,67.900,haplolethal
0.250,0.5,0.65,0.5,6.0,linear,66.250,haplolethal
0.250,0.5,0.7,0.5,6.0,linear,63.900,haplolethal
0.250,0.5,0.75,0.5,6.0,linear,62.250,haplolethal
0.250,0.5,0.8,0.5,6.0,linear,60.500,haplolethal
0.250,0.5,0.85,0.5,6.0,linear,59.000,haplolethal
0.250,0.5,0.9,0.5,6.0,linear,58.250,haplolethal
0.250,0.5,0.95,0.5,6.0,linear,57.450,haplolethal
0.250,0.5,1.0,0.5,6.0,linear,55.700,haplolethal
0.275,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.275,0.5,0.05,0.5,6.0,linear,209.500,haplolethal
0.275,0.5,0.1,0.5,6.0,linear,143.600,haplolethal
0.275,0.5,0.15,0.5,6.0,linear,116.950,haplolethal
0.275,0.5,0.2,0.5,6.0,linear,103.400,haplolethal
0.275,0.5,0.25,0.5,6.0,linear,93.550,haplolethal
0.275,0.5,0.3,0.5,6.0,linear,86.700,haplolethal
0.275,0.5,0.35,0.5,6.0,linear,80.950,haplolethal
0.275,0.5,0.4,0.5,6.0,linear,76.900,haplolethal
0.275,0.5,0.45,0.5,6.0,linear,72.850,haplolethal
0.275,0.5,0.5,0.5,6.0,linear,70.300,haplolethal
0.275,0.5,0.55,0.5,6.0,linear,68.250,haplolethal
0.275,0.5,0.6,0.5,6.0,linear,65.750,haplolethal
0.275,0.5,0.65,0.5,6.0,linear,62.800,haplolethal
0.275,0.5,0.7,0.5,6.0,linear,61.650,haplolethal
0.275,0.5,0.75,0.5,6.0,linear,60.900,haplolethal
0.275,0.5,0.8,0.5,6.0,linear,59.400,haplolethal
0.275,0.5,0.85,0.5,6.0,linear,57.550,haplolethal
0.275,0.5,0.9,0.5,6.0,linear,56.700,haplolethal
0.275,0.5,0.95,0.5,6.0,linear,55.400,haplolethal
0.275,0.5,1.0,0.5,6.0,linear,55.150,haplolethal
0.300,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.300,0.5,0.05,0.5,6.0,linear,180.800,haplolethal
0.300,0.5,0.1,0.5,6.0,linear,130.600,haplolethal
0.300,0.5,0.15,0.5,6.0,linear,109.200,haplolethal
0.300,0.5,0.2,0.5,6.0,linear,96.650,haplolethal
0.300,0.5,0.25,0.5,6.0,linear,88.700,haplolethal
0.300,0.5,0.3,0.5,6.0,linear,83.350,haplolethal
0.300,0.5,0.35,0.5,6.0,linear,77.600,haplolethal
0.300,0.5,0.4,0.5,6.0,linear,73.900,haplolethal
0.300,0.5,0.45,0.5,6.0,linear,70.150,haplolethal
0.300,0.5,0.5,0.5,6.0,linear,68.250,haplolethal
0.300,0.5,0.55,0.5,6.0,linear,65.550,haplolethal
0.300,0.5,0.6,0.5,6.0,linear,63.750,haplolethal
0.300,0.5,0.65,0.5,6.0,linear,61.750,haplolethal
0.300,0.5,0.7,0.5,6.0,linear,60.350,haplolethal
0.300,0.5,0.75,0.5,6.0,linear,58.750,haplolethal
0.300,0.5,0.8,0.5,6.0,linear,57.800,haplolethal
0.300,0.5,0.85,0.5,6.0,linear,56.700,haplolethal
0.300,0.5,0.9,0.5,6.0,linear,55.600,haplolethal
0.300,0.5,0.95,0.5,6.0,linear,54.450,haplolethal
0.300,0.5,1.0,0.5,6.0,linear,52.900,haplolethal
0.325,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.325,0.5,0.05,0.5,6.0,linear,158.750,haplolethal
0.325,0.5,0.1,0.5,6.0,linear,119.600,haplolethal
0.325,0.5,0.15,0.5,6.0,linear,102.600,haplolethal
0.325,0.5,0.2,0.5,6.0,linear,91.950,haplolethal
0.325,0.5,0.25,0.5,6.0,linear,84.600,haplolethal
0.325,0.5,0.3,0.5,6.0,linear,78.250,haplolethal
0.325,0.5,0.35,0.5,6.0,linear,74.350,haplolethal
0.325,0.5,0.4,0.5,6.0,linear,70.950,haplolethal
0.325,0.5,0.45,0.5,6.0,linear,68.250,haplolethal
0.325,0.5,0.5,0.5,6.0,linear,65.800,haplolethal
0.325,0.5,0.55,0.5,6.0,linear,63.550,haplolethal
0.325,0.5,0.6,0.5,6.0,linear,62.150,haplolethal
0.325,0.5,0.65,0.5,6.0,linear,60.150,haplolethal
