drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.775,9.5,0.5,6.0,linear,40.300
0.800,0.0,0.5,6.0,linear,NAN
0.800,0.5,0.5,6.0,linear,NAN
0.800,1.0,0.5,6.0,linear,NAN
0.800,1.5,0.5,6.0,linear,NAN
0.800,10.0,0.5,6.0,linear,39.600
0.800,2.0,0.5,6.0,linear,NAN
0.800,2.5,0.5,6.0,linear,NAN
0.800,3.0,0.5,6.0,linear,NAN
0.800,3.5,0.5,6.0,linear,NAN
0.800,4.0,0.5,6.0,linear,121.650
0.800,4.5,0.5,6.0,linear,83.000
0.800,5.0,0.5,6.0,linear,68.100
0.800,5.5,0.5,6.0,linear,60.700
0.800,6.0,0.5,6.0,linear,55.300
0.800,6.5,0.5,6.0,linear,51.050
0.800,7.0,0.5,6.0,linear,48.550
0.800,7.5,0.5,6.0,linear,46.200
0.800,8.0,0.5,6.0,linear,44.350
0.800,8.5,0.5,6.0,linear,42.900
0.800,9.0,0.5,6.0,linear,41.500
0.800,9.5,0.5,6.0,linear,40.300
0.825,0.0,0.5,6.0,linear,NAN
0.825,0.5,0.5,6.0,linear,NAN
0.825,1.0,0.5,6.0,linear,NAN
0.825,1.5,0.5,6.0,linear,NAN
0.825,10.0,0.5,6.0,linear,38.400
0.825,2.0,0.5,6.0,linear,NAN
0.825,2.5,0.5,6.0,linear,NAN
0.825,3.0,0.5,6.0,linear,NAN
0.825,3.5,0.5,6.0,linear,NAN
0.825,4.0,0.5,6.0,linear,105.200
0.825,4.5,0.5,6.0,linear,78.750
0.825,5.0,0.5,6.0,linear,66.750
0.825,5.5,0.5,6.0,linear,60.000
0.825,6.0,0.5,6.0,linear,54.500
0.825,6.5,0.5,6.0,linear,50.650
0.825,7.0,0.5,6.0,linear,47.750
0.825,7.5,0.5,6.0,linear,45.600
0.825,8.0,0.5,6.0,linear,44.150
0.825,8.5,0.5,6.0,linear,42.000
0.825,9.0,0.5,6.0,linear,40.850
0.825,9.5,0.5,6.0,linear,39.600
0.850,0.0,0.5,6.0,linear,NAN
0.850,0.5,0.5,6.0,linear,NAN
0.850,1.0,0.5,6.0,linear,NAN
0.850,1.5,0.5,6.0,linear,NAN
0.850,10.0,0.5,6.0,linear,38.550
0.850,2.0,0.5,6.0,linear,NAN
0.850,2.5,0.5,6.0,linear,NAN
0.850,3.0,0.5,6.0,linear,NAN
0.850,3.5,0.5,6.0,linear,244.650
0.850,4.0,0.5,6.0,linear,97.250
0.850,4.5,0.5,6.0,linear,74.500
0.850,5.0,0.5,6.0,linear,63.250
0.850,5.5,0.5,6.0,linear,57.000
0.850,6.0,0.5,6.0,linear,52.450
0.850,6.5,0.5,6.0,linear,49.150
0.850,7.0,0.5,6.0,linear,46.800
0.850,7.5,0.5,6.0,linear,44.850
0.850,8.0,0.5,6.0,linear,43.100
0.850,8.5,0.5,6.0,linear,41.150
0.850,9.0,0.5,6.0,linear,40.600
0.850,9.5,0.5,6.0,linear,39.000
0.875,0.0,0.5,6.0,linear,NAN
0.875,0.5,0.5,6.0,linear,NAN
0.875,1.0,0.5,6.0,linear,NAN
0.875,1.5,0.5,6.0,linear,NAN
0.875,10.0,0.5,6.0,linear,37.900
0.875,2.0,0.5,6.0,linear,NAN
0.875,2.5,0.5,6.0,linear,NAN
0.875,3.0,0.5,6.0,linear,NAN
0.875,3.5,0.5,6.0,linear,159.550
0.875,4.0,0.5,6.0,linear,89.500
0.875,4.5,0.5,6.0,linear,72.100
0.875,5.0,0.5,6.0,linear,61.850
0.875,5.5,0.5,6.0,linear,55.350
0.875,6.0,0.5,6.0,linear,51.250
0.875,6.5,0.5,6.0,linear,48.850
0.875,7.0,0.5,6.0,linear,46.200
0.875,7.5,0.5,6.0,linear,43.900
0.875,8.0,0.5,6.0,linear,41.950
0.875,8.5,0.5,6.0,linear,41.050
0.875,9.0,0.5,6.0,linear,39.550
0.875,9.5,0.5,6.0,linear,38.800
0.900,0.0,0.5,6.0,linear,NAN
0.900,0.5,0.5,6.0,linear,NAN
0.900,1.0,0.5,6.0,linear,NAN
0.900,1.5,0.5,6.0,linear,NAN
0.900,10.0,0.5,6.0,linear,37.650
0.900,2.0,0.5,6.0,linear,NAN
0.900,2.5,0.5,6.0,linear,NAN
0.900,3.0,0.5,6.0,linear,NAN
0.900,3.5,0.5,6.0,linear,133.750
0.900,4.0,0.5,6.0,linear,84.400
0.900,4.5,0.5,6.0,linear,68.800
0.900,5.0,0.5,6.0,linear,59.750
0.900,5.5,0.5,6.0,linear,54.000
0.900,6.0,0.5,6.0,linear,50.350
0.900,6.5,0.5,6.0,linear,47.300
0.900,7.0,0.5,6.0,linear,45.350
0.900,7.5,0.5,6.0,linear,43.250
0.900,8.0,0.5,6.0,linear,41.300
